//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------//
// Dark Knight																																													      //
//	Index	Name		Opt2-1	Val2-1	Opt2-2	Val2-2	Opt3-1	Val3-1	Opt3-2	Val3-2	Opt4-1	Val4-1	Opt4-2	Val4-2	Opt5-1	Val5-1	Opt5-2	Val5-2	Opt6-1	Val6-1	Opt6-2	Val6-2	Opt7-1	Val7-1	Opt7-2	Val7-2	Opt8    Value   Opt9    Value	Full1	Opt	Full2	Opt	Full3	Opt	Full4	Opt	Full5	Opt	DW	DK	ELF	MG	DL
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------//
	1	"Warrior"	      0	      10	  -1	  -1	  19	  10	  -1	  -1	  13	  20	  -1	  -1	  14	  5	      -1	  -1	  10	  20	  -1	  -1	   1	   10	  -1	  -1	 -1	     -1	     -1	      -1	  15	 5	  17	 5	  0	     25	 -1	     -1	 -1	    -1	0	0	0	0	0
	2	"Anonymous"	      11	  50	  -1	  -1	  1	      50	  -1	  -1	  22	  25	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  8	     30	  -1	-1	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	3	"Hyperion"	      2	      15	  -1	  -1	  1	      15	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  19	 20	  12	30	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	4	"Mist"	          3	      20	  -1	  -1	  19	  30	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  20	 10	  1	    20	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	5	"Eplete"	      19	  15	  -1	  -1	  9	      50	  -1	  -1	  7       5	      -1	  -1	  11	 50	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  13	 30	  15	10	 17	     10	 -1	     -1	 -1	    -1	0	0	0	0	0
	6	"Berserker"	      6	      10	  -1	  -1	  6	      20	  -1	  -1	  6	      30	  -1	  -1	  6	     40	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1  	 -1	     -1	      -1	  19	 40	  0	    40	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	7	"Garuda"	      13	  30	  -1	  -1	  20	  5	      -1	  -1	  2	      15	  -1	  -1	  11	 50	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  19	 25	  7	    15	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	8	"Cloud"	          15	  20	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  16	 50	  -1	-1	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	9	"Kantata"	      2	      15	  -1	  -1	  3	      30	  -1	  -1	  7	      10	  -1	  -1	  0	     15	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  19	 25	  17	10	 18	     20	 -1	     -1	 -1	    -1	0	0	0	0	0
	10	"Rave"	          19	  20	  -1	  -1	  20	  10	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  23	 30	  21	5	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	11	"Hyon"	          10	  25	  -1	  -1	  20	  10	  -1	  -1	  19	  20	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 15	  17	15	 16	     20	 18	     20	 -1	    -1	0	0	0	0	0
	12	"Vicious"	      19	  15	  -1	  -1	  8	      15	  -1	  -1	  20	  10	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  5	     20	  6	    30	 21	     5	 -1	     -1	 -1	    -1	0	0	0	0	0
	13	"Apollo"	      2	      10	  -1	  -1	  7	      5	      -1	  -1	  19	  10	  -1	  -1	  12	 30	      -1	  -1	  11	  30	  -1	  -1	   13	   20	  -1	  -1	 -1	     -1	     -1	      -1	  15	 10	  17	10	 2	     30	 -1	     -1	 -1	    -1	0	0	0	0	0
	14	"Barnake"	      7	      10	  -1	  -1	  2	      20	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  19	 30	  12	100	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	15	"Evis"	          19	  15	  -1	  -1	  3	      20	  -1	  -1	  7	      10	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  20	 5	  9	    50	 14	     5	 -1	     -1	 -1	    -1	0	0	0	0	0
	16	"Sylion"	      20	  5	      -1	  -1	  15	  5	      -1	  -1	  10	  20	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  0	     50	  1	    50	 3	     50	 2	     50	 -1	    -1	0	0	0	0	0
	17	"Heras"	          0	      15	  -1	  -1	  7	      10	  -1	  -1	  22	  5	      -1	  -1	  2	     15	      -1	  -1	  9	      50	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 10	  17	10	 11	     50	 12	     50	 -1	    -1	0	0	0	0	0
	18	"Minet"	          2	      30	  -1	  -1	  10	  30	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1   	 -1	      -1	  12	 100  19	15	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	19	"Anubis"	      20	  10	  -1	  -1	  12	  50	  -1	  -1	  7	      10	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 15	  17	15	 16	     20	 18	     20	 -1	    -1	0	0	0	0	0
	20	"Enis"		      19	  10	  -1	  -1	  20	  10	  -1	  -1	  2	      30	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  7	     10	  21	5	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	21	"Ceto"	          1	      10	  -1	  -1	  11	  50	  -1	  -1	  10	  20	  -1	  -1	  22	 5	      -1	  -1	  2	      10	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  11	 50	  0	    20	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	22	"Drake"	          1	      20	  -1	  -1	  8	      25	  -1	  -1	  20	  20	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  10	 40	  15	10	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	23	"Gaia"	          19	  10	  -1	  -1	  12	  25	  -1	  -1	  0	      10	  -1	  -1	  20	 5	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  1	     30	  17	10	 18	     10	 -1	     -1	 -1	    -1	0	0	0	0	0
	24	"Fase"	          11	  100	  -1	  -1	  12	  100	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  10	 100  -1	-1	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	25	"Odin"	          2	      15	  -1	  -1	  11	  50	  -1	  -1	  9	      50	  -1	  -1	  1	     30	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  12	 50	  21	5	 13	     50	 -1	     -1	 -1	    -1	0	0	0	0	0
	26	"Elvian"	      1	      30	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  21	 5	  -1	-1	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	27	"Argo"	          6	      20	  -1	  -1	  19	  25	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  13	 50	  20	5	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	28	"Karis"	          19	  15	  -1	  -1	  20	  10	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 10	  1	    40	 -1	     -1	 -1	     -1	 -1	    -1	0	0	0	0	0
	29	"Gywen"	          1	      30	  -1	  -1	  5	      20	  -1	  20	  10	  20	  -1	  -1	  6	     20	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 15	  17	15	 16	     20	 18	     20	 -1	    -1	0	0	0	0	0
	30	"Aruan"	          8	      10	  -1	  -1	  20	  10	  -1	  -1	  19	  20	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 15	  17	15	 21	     5	 -1	     -1	 -1	    -1	0	0	0	0	0
	31	"Gaion"	          21	  5	      -1	  -1	  20	  15	  -1	  -1	  19	  15	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  17	 15	  18	30	 7	     10	 0	     30	 -1	    -1	0	0	0	0	0
	32	"Muren"	          19	  10	  -1	  -1	  7	      10	  -1	  -1	  20	  10	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 15	  17	15	 10	     25	 23	     20	 -1	    -1	0	0	0	0	0
	33	"Agnis"	          20	  10	  -1	  -1	  10	  40	  -1	  -1	  19	  20	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 15	  17	15	 16	     20	 18	     20	 -1	    -1	0	0	0	0	0
	34	"Broy"	          8	      20	  -1	  -1	  19	  20	  -1	  -1	  2	      30	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 15	  17	15	 21	     5	 4	     30	 -1	    -1	0	0	0	0	0
	35	"Chrono"	      20	  20	  -1	  -1	  10	  60	  -1	  -1	  19	  30	  -1	  -1	  -1	 -1	      -1	  -1	  -1	  -1	  -1	  -1	   -1	   -1	  -1	  -1	 -1	     -1	     -1	      -1	  15	 15	  17	15	 16	     20	 18	     20	 -1	    -1	0	0	0	0	0
end
